"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","origin","nonnative","comments"
"Astragalus.lotiflorus","Low Milk Vetch","Astragalus lotiflorus","Species","AstragalusLotiflorus",99003720,15,4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.missouriensis","Missouri Milk Vetch","Astragalus missouriensis","Species","AstragalusMissouriensis",99003723,11,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.pectinatus","Narrow-Leaved Milk Vetch","Astragalus pectinatus","Species","AstragalusPectinatus",99003735,183,78,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Astragalus.purshii","Pursh's Milk Vetch","Astragalus purshii","Species","AstragalusPurshii",99003724,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.spatulatus","Tufted Milk Vetch","Astragalus spatulatus","Species","AstragalusSpatulatus",99003725,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.tenellus",NA,"Astragalus tenellus","Species","AstragalusTenellus",25696,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.vexilliflexus","Few-Flowered Milk Vetch","Astragalus vexilliflexus","Species","AstragalusVexilliflexus",99003736,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Athyrium","Lady Ferns","Athyrium","Genus","Athyrium",17408,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Athyrium.filix.femina","Lady Fern","Athyrium filix-femina","Species","AthyriumFilixfemina",17413,60,25,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Native",FALSE,NA
"Atriplex","Saltbushes","Atriplex","Genus","Atriplex",99004266,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Atriplex.argentea","Silver Saltbush","Atriplex argentea","Species","AtriplexArgentea",99004267,7,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Atriplex.gardneri.canescens","Four-Wing Saltbush","Atriplex gardneri/canescens","Species","AtriplexCanescens",99004270,89,38,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Avena.fatua","Wild Oat","Avena fatua","Species","AvenaFatua",99003884,311,101,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Exotic",TRUE,NA
"Avena.sativa","Cultivated Oat","Avena sativa","Species","AvenaSativa",99003885,36,11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
