"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments"
"Gymnostomum.aeruginosum",NA,"Gymnostomum aeruginosum","Species","GymnostomumAeruginosum",99001050,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Hamatocaulis.vernicosus",NA,"Hamatocaulis vernicosus","Species","HamatocaulisVernicosus",99001052,82,53,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Haplocladium.microphyllum",NA,"Haplocladium microphyllum","Species","HaplocladiumMicrophyllum",99001215,492,292,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Haplocladium.virginianum",NA,"Haplocladium virginianum","Species","HaplocladiumVirginianum",99001216,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Harpanthus.drummondii",NA,"Harpanthus drummondii","Species","HarpanthusDrummondii",99002809,8,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Hedwigia.ciliata",NA,"Hedwigia ciliata","Species","HedwigiaCiliata",99001054,44,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Helodium.blandowii",NA,"Helodium blandowii","Species","HelodiumBlandowii",99001055,251,157,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
"Hennediella.heimii",NA,"Hennediella heimii","Species","HennediellaHeimii",99001181,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Herzogiella.turfacea",NA,"Herzogiella turfacea","Species","HerzogiellaTurfacea",99001057,112,85,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Hygroamblystegium.varium",NA,"Hygroamblystegium varium","Species","HygroamblystegiumVarium",99001268,56,44,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Hygrohypnum.luridum",NA,"Hygrohypnum luridum","Species","HygrohypnumLuridum",99001068,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Hygrohypnum.ochraceum",NA,"Hygrohypnum ochraceum","Species","HygrohypnumOchraceum",99001070,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Hylocomium.splendens",NA,"Hylocomium splendens","Genus","Hylocomium",99000286,1617,723,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Hypnum.bambergeri",NA,"Hypnum bambergeri","Species","HypnumBambergeri",99001076,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Hypnum.callichroum",NA,"Hypnum callichroum","Species","HypnumCallichroum",99001077,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Hypnum.cupressiforme",NA,"Hypnum cupressiforme","Species","HypnumCupressiforme",99001078,23,16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Hypnum.holmenii",NA,"Hypnum holmenii","Species","HypnumHolmenii",99001380,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Hypnum.lindbergii",NA,"Hypnum lindbergii","Species","HypnumLindbergii",99001079,75,61,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Hypnum.pallescens",NA,"Hypnum pallescens","Species","HypnumPallescens",99001080,39,33,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Hypnum.plicatulum",NA,"Hypnum plicatulum","Species","HypnumPlicatulum",99001395,13,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Hypnum.pratense",NA,"Hypnum pratense","Species","HypnumPratense",99001081,395,273,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Hypnum.recurvatum",NA,"Hypnum recurvatum","Species","HypnumRecurvatum",99001083,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Hypnum.revolutum",NA,"Hypnum revolutum","Species","HypnumRevolutum",99001084,19,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Hypnum.vaucheri",NA,"Hypnum vaucheri","Species","HypnumVaucheri",99001085,11,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Isopterygiopsis.muelleriana",NA,"Isopterygiopsis muelleriana","Species","IsopterygiopsisMuelleriana",16342,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Isopterygiopsis.pulchella",NA,"Isopterygiopsis pulchella","Species","IsopterygiopsisPulchella",99001086,34,31,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
